"Part number","Description","Order Now","SubFamily","Interface","Operating temperature range (C)","Local sensor accuracy(Max) (+/- C)","Rating","Package Group","Package size: mm2:W x L (PKG)","Supply voltage  (Min) (V)","Supply voltage (Max) (V)","Supply current(Max) (uA)"
"TMP300","Resistor-Programmable, up to 18V-Capable Temp Switch and Analog Out Sensor","=HYPERLINK(""https://www.ti.com/product/TMP300/samplebuy"",""Order Now"")","Temperature switches","Analog Output,
Switch","-40 to 125"," --- ","Catalog","SC70|6, SOT-23|6","4 mm2: 2.1 x 2 (SC70|6), 5 mm2: 1.6 x 2.9 (SOT-23|6)","1.8","18","110"
"TMP708","Resistor-programmable temperature switch with 10&deg;C and 30&deg;C hysteresis","=HYPERLINK(""https://www.ti.com/product/TMP708/samplebuy"",""Order Now"")","Temperature switches","Switch","-40 to 125"," --- ","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","55"
"TMP709","Resistor-programmable temperature switch with 2&deg;C and 10&deg;C hysteresis","=HYPERLINK(""https://www.ti.com/product/TMP709/samplebuy"",""Order Now"")","Temperature switches","Switch","-40 to 125"," --- ","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","55"
"TMP392","TMP392 Dual-channel (hot & warm), resistor-programmable temperature switch","=HYPERLINK(""https://www.ti.com/product/TMP392/samplebuy"",""Order Now"")","Temperature switches","Switch","-55 to 130","1.5","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.62","5.5","1"
"LM27","Temperature Switch with Fixed Trip Points, 120°C-150°C","=HYPERLINK(""https://www.ti.com/product/LM27/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Analog Output,
Switch","120 to 150"," --- ","Catalog","SOT-23|5","5 mm2: 1.6 x 2.9 (SOT-23|5)","2.7","5.5","40"
"TMP390","Ultra-small, dual-channel (hot & cold trip), 0.5-µA, resistor-programmable temperature switch","=HYPERLINK(""https://www.ti.com/product/TMP390/samplebuy"",""Order Now"")","Temperature switches","Switch","-55 to 130"," --- ","Catalog","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.62","5.5","1"
"LM35","±0.5°C Temperature Sensor with Analog Output and 30V Capability","=HYPERLINK(""https://www.ti.com/product/LM35/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 110,
-55 to 150,
0 to 100,
0 to 70","0.5","Catalog","SOIC|8, TO-92|3, TO|3","19 mm2: 3.91 x 4.9 (SOIC|8), 35 mm2: 5.44 x 6.41 (TO|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","4","30","114"
"LM57","±0.7°C Temperature Sensor with Resistor-Programmable Temperature Switch","=HYPERLINK(""https://www.ti.com/product/LM57/samplebuy"",""Order Now"")","Analog temperature sensors,
Temperature switches","Analog Output,
Switch","-50 to 150","0.7","Catalog","TSSOP|8, WSON|8","19 mm2: 6.4 x 3 (TSSOP|8), 6 mm2: 2.5 x 2.5 (WSON|8)","2.4","5.5","28"
"LM135A","±1°C analog output temperature sensor in hermetic TO-92","=HYPERLINK(""https://www.ti.com/product/LM135A/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-55 to 150","1","Catalog","TO|3","35 mm2: 5.44 x 6.41 (TO|3)","5","2.99","400"
"LM235A","±1°C  Analog Out Temperature Sensor in Hermetic TO","=HYPERLINK(""https://www.ti.com/product/LM235A/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 125","1","Catalog","TO|3","35 mm2: 5.44 x 6.41 (TO|3)","5","2.99","400"
"LM34","±1°F Analog Output Temperature Sensor with Farenheit Scale Calibration and 30V Capability","=HYPERLINK(""https://www.ti.com/product/LM34/samplebuy"",""Order Now"")","Analog temperature sensors","Analog Output","-40 to 110,
-45.6 to 148.9,
0 to 100","0.556","Catalog","SOIC|8, TO-92|3, TO|3","19 mm2: 3.91 x 4.9 (SOIC|8), 35 mm2: 5.44 x 6.41 (TO|3), 19 mm2: 3.68 x 5.2 (TO-92|3)","5","30","160"
"LM94","±2°C quad remote and socal temperature sensor with beta comp, fan ctrl, hw & supply mtr in a TSSOP","=HYPERLINK(""https://www.ti.com/product/LM94/samplebuy"",""Order Now"")","Digital temperature sensors","SMBus","0 to 100","3","Catalog","TSSOP|56","113 mm2: 8.1 x 14 (TSSOP|56)","3","3.6","1600"
"TMP390-Q1","Automotive grade, ultra-small, dual-channel, 0.5-μA, resistor-programmable temperature switch","=HYPERLINK(""https://www.ti.com/product/TMP390-Q1/samplebuy"",""Order Now"")","Temperature switches","Switch","-55 to 130"," --- ","Automotive","SOT-5X3|6","2 mm2: 1.2 x 1.6 (SOT-5X3|6)","1.62","5.5","1"
